No.,Tour Length
1,262
2,283
3,278
4,247
5,297
6,310
7,296
8,303
9,284
10,302
11,271
12,304
13,334
14,284
15,296
16,300
17,311
18,259
19,264
20,290
21,298
22,255
23,274
24,326
25,310
26,321
27,320
28,295
29,297
30,286
31,295
32,279
33,296
34,338
35,283
36,276
37,285
38,300
39,264
40,282
41,257
42,286
43,294
44,324
45,331
46,287
47,362
48,313
49,314
50,277
51,310
52,323
53,258
54,294
55,263
56,291
57,298
58,275
59,251
60,330
61,257
62,264
63,283
64,282
65,296
66,255
67,301
68,291
69,290
70,266
71,263
72,294
73,270
74,285
75,271
76,335
77,291
78,319
79,293
80,308
81,310
82,235
83,297
84,302
85,262
86,330
87,296
88,299
89,305
90,295
91,330
92,302
93,277
94,289
95,304
96,273
97,240
98,288
99,288
100,283
