No.,Tour Length
1,234
2,278
3,245
4,273
5,248
6,281
7,285
8,256
9,234
10,250
11,229
12,236
13,240
14,246
15,235
16,254
17,254
18,300
19,235
20,244
21,231
22,233
23,246
24,266
25,270
26,242
27,285
28,245
29,216
30,233
31,249
32,247
33,243
34,246
35,236
36,254
37,257
38,243
39,280
40,267
41,247
42,232
43,242
44,252
45,240
46,244
47,247
48,252
49,246
50,227
51,266
52,273
53,231
54,251
55,264
56,264
57,241
58,248
59,238
60,263
61,257
62,241
63,243
64,280
65,264
66,255
67,248
68,217
69,237
70,220
71,280
72,257
73,254
74,246
75,265
76,248
77,261
78,269
79,253
80,252
81,232
82,248
83,264
84,244
85,258
86,229
87,245
88,255
89,236
90,275
91,270
92,251
93,275
94,234
95,255
96,263
97,241
98,242
99,252
100,246
